dataset,model,removed_id
fingerprinting,NetTCR22,fp_2752
fingerprinting,NetTCR22,fp_344
immrep23,NetTCR,immrep23_1002
immrep23,NetTCR,immrep23_1034
immrep23,NetTCR,immrep23_1069
immrep23,NetTCR,immrep23_1099
immrep23,NetTCR,immrep23_1133
immrep23,NetTCR,immrep23_1150
immrep23,NetTCR,immrep23_1157
immrep23,NetTCR,immrep23_1170
immrep23,NetTCR,immrep23_1178
immrep23,NetTCR,immrep23_1186
immrep23,NetTCR,immrep23_1187
immrep23,NetTCR,immrep23_119
immrep23,NetTCR,immrep23_1244
immrep23,NetTCR,immrep23_1274
immrep23,NetTCR,immrep23_1319
immrep23,NetTCR,immrep23_1325
immrep23,NetTCR,immrep23_1330
immrep23,NetTCR,immrep23_1365
immrep23,NetTCR,immrep23_1380
immrep23,NetTCR,immrep23_140
immrep23,NetTCR,immrep23_1416
immrep23,NetTCR,immrep23_145
immrep23,NetTCR,immrep23_1467
immrep23,NetTCR,immrep23_1487
immrep23,NetTCR,immrep23_1509
immrep23,NetTCR,immrep23_1520
immrep23,NetTCR,immrep23_1523
immrep23,NetTCR,immrep23_1530
immrep23,NetTCR,immrep23_1564
immrep23,NetTCR,immrep23_1587
immrep23,NetTCR,immrep23_1623
immrep23,NetTCR,immrep23_1628
immrep23,NetTCR,immrep23_1656
immrep23,NetTCR,immrep23_1661
immrep23,NetTCR,immrep23_1742
immrep23,NetTCR,immrep23_1744
immrep23,NetTCR,immrep23_1763
immrep23,NetTCR,immrep23_1779
immrep23,NetTCR,immrep23_1830
immrep23,NetTCR,immrep23_1938
immrep23,NetTCR,immrep23_1954
immrep23,NetTCR,immrep23_1981
immrep23,NetTCR,immrep23_2
immrep23,NetTCR,immrep23_2116
immrep23,NetTCR,immrep23_2131
immrep23,NetTCR,immrep23_2141
immrep23,NetTCR,immrep23_2143
immrep23,NetTCR,immrep23_2157
immrep23,NetTCR,immrep23_2174
immrep23,NetTCR,immrep23_2274
immrep23,NetTCR,immrep23_2302
immrep23,NetTCR,immrep23_2308
immrep23,NetTCR,immrep23_2363
immrep23,NetTCR,immrep23_239
immrep23,NetTCR,immrep23_2468
immrep23,NetTCR,immrep23_248
immrep23,NetTCR,immrep23_2480
immrep23,NetTCR,immrep23_2498
immrep23,NetTCR,immrep23_2500
immrep23,NetTCR,immrep23_2540
immrep23,NetTCR,immrep23_2543
immrep23,NetTCR,immrep23_2546
immrep23,NetTCR,immrep23_2556
immrep23,NetTCR,immrep23_2589
immrep23,NetTCR,immrep23_263
immrep23,NetTCR,immrep23_2661
immrep23,NetTCR,immrep23_2697
immrep23,NetTCR,immrep23_271
immrep23,NetTCR,immrep23_281
immrep23,NetTCR,immrep23_2923
immrep23,NetTCR,immrep23_3006
immrep23,NetTCR,immrep23_3007
immrep23,NetTCR,immrep23_3067
immrep23,NetTCR,immrep23_3084
immrep23,NetTCR,immrep23_3098
immrep23,NetTCR,immrep23_3107
immrep23,NetTCR,immrep23_3111
immrep23,NetTCR,immrep23_3123
immrep23,NetTCR,immrep23_3131
immrep23,NetTCR,immrep23_3224
immrep23,NetTCR,immrep23_3232
immrep23,NetTCR,immrep23_3413
immrep23,NetTCR,immrep23_3426
