ID,ERGO_Prob,ERGO2_Prob,NetTCR_Prob,NetTCR22_Prob,TITAN_Prob,EPACT_Prob,PanPep_Prob,SCEPTR_Prob
fp_0,0.12616634368896484,0.0062217465601861,0.0071657896,0.84126693,0.011193996295332909,0.8163602,0.8069056,0.0
fp_1,0.08050231635570526,0.0012959382729604,0.0072370768,0.26099822,0.02082573063671589,0.54612917,0.82794535,0.0
fp_2,0.0835384875535965,0.26165771484375,0.0058938563,0.23097081,0.002557457657530904,0.746937,0.78931904,0.0
fp_3,0.10280940681695938,0.0005583663005381,0.007071972,0.66813815,0.010025273077189922,0.6901767,0.78068846,0.0
fp_4,0.06613559275865555,0.2622607946395874,0.006892234,0.46153903,0.0006575762527063489,0.6647625,0.74955106,0.0
fp_5,0.1301707774400711,0.0461652167141437,0.008318514,0.20942125,0.023380640894174576,0.012059993,0.8262616,0.0
fp_6,0.24811337888240814,0.2745916545391083,0.0077486634,0.16841456,0.003010031534358859,0.8152381,0.75154895,0.0
fp_7,0.10686072707176208,0.0004831740807276,0.0056557953,0.10326137,0.0529973991215229,0.6673627,0.8330223,0.0
fp_8,0.0626482143998146,0.1817815452814102,0.0073464513,0.16129467,0.004159288480877876,0.7301082,0.7034558,0.0
fp_9,0.08196885883808136,0.0039816135540604,0.0066027343,0.61737484,0.017890689894557,0.6711212,0.7906385,0.0
fp_10,0.058728113770484924,0.1683419495820999,0.009158045,0.25586253,0.0023067202419042587,0.847005,0.79703987,0.0
fp_11,0.10890746861696243,0.0008492019842378,0.0071257055,0.38112903,0.021776380017399788,0.63576037,0.77122086,0.0
fp_12,0.22255076467990875,0.1657376140356063,0.006724477,0.20668502,0.00398988975211978,0.77448314,0.77859414,0.0
fp_13,0.09643914550542831,0.0021880380809307,0.0065953434,0.5494568,0.020789390429854393,0.566111,0.8420366,0.0
fp_14,0.09631884098052979,0.2713209092617035,0.007364303,0.2111195,0.00232748338021338,0.8394081,0.7187047,0.0
fp_15,0.130952388048172,0.0341185145080089,0.0061516166,0.12734178,0.025754563510417938,0.47999558,0.7987861,0.0
fp_16,0.15991342067718506,0.2123637944459915,0.0057595074,0.14917979,0.0020251248497515917,0.8011966,0.7577531,0.0
fp_17,0.0993821769952774,0.0317576192319393,0.0072199404,0.18003945,0.023407993838191032,0.7388864,0.82759947,0.0
fp_18,0.0693030059337616,0.1101886332035064,0.008581251,0.2782653,0.0020102274138480425,0.73157245,0.77371347,0.0
fp_19,0.14548705518245697,0.0036366654094308,0.0069738626,0.37139094,0.02243947796523571,0.70275307,0.83720016,0.0
fp_20,0.10759693384170532,0.123816043138504,0.005530894,0.20316215,0.0034506823867559433,0.72484475,0.83431894,0.0
fp_21,0.09755405783653259,0.2166325598955154,0.007002741,0.7215894,0.006723056081682444,0.7796039,0.7396952,0.0
fp_22,0.09718168526887894,0.1953553557395935,0.005025983,0.45160618,0.003732498502358794,0.74054134,0.7784537,0.0
fp_23,0.16130590438842773,0.1093306317925453,0.0072805583,0.6742548,0.004084059037268162,0.7904332,0.8091595,0.0
fp_24,0.1126990020275116,0.2064567804336547,0.0075504184,0.23542814,0.0014197714626789093,0.80223244,0.7502013,0.0
fp_25,0.06754297763109207,0.3109766542911529,0.008305162,0.2958383,0.011309375986456871,0.7752878,0.7811648,0.0
fp_26,0.09288991987705231,0.0019994284957647,0.005804658,0.34234107,0.002898682374507189,0.7673371,0.8547018,0.0
fp_27,0.16686071455478668,0.2279701381921768,0.009279966,0.33878192,0.0208528321236372,0.6408196,0.6791057,0.0
fp_28,0.1735808253288269,0.1889118254184723,0.005325973,0.6525413,0.016558688133955002,0.77105844,0.8288732,0.0
fp_29,0.13993139564990997,0.2544185221195221,0.0071917176,0.41362056,0.008178885094821453,0.63076556,0.67300045,0.0
fp_30,0.07272624224424362,0.0042095351964235,0.0059865117,0.4056689,0.0015189166879281402,0.59862685,0.70676184,0.0
fp_31,0.18041223287582397,0.2884350419044494,0.007587284,0.605746,0.0176401250064373,0.6483873,0.7414972,0.0
fp_32,0.0710182636976242,0.1626560986042022,0.00665769,0.1740109,0.0029481789097189903,0.7344224,0.69736767,0.0
fp_33,0.11142682284116745,0.274791955947876,0.0072804093,0.44462958,0.01007815357297659,0.771553,0.6905471,0.0
fp_34,0.06697963178157806,0.0442855022847652,0.0057452917,0.20196292,0.0030686433892697096,0.77541393,0.7918798,0.0
fp_35,0.0705949142575264,0.001037533278577,0.0072529614,0.30504808,0.008799513801932335,0.7330679,0.816763,0.0
fp_36,0.06930641829967499,0.2468925267457962,0.006146699,0.36904436,0.021777784451842308,0.7291747,0.8109019,0.0
fp_37,0.18226557970046997,0.0045292037539184,0.009059101,0.56962776,0.004392334260046482,0.48386863,0.6875458,0.0
fp_38,0.10155384987592697,0.2523151934146881,0.0056091547,0.19645911,0.003601492615416646,0.7724129,0.7817415,0.0
fp_39,0.10324221849441528,0.0203232318162918,0.004763484,0.4736938,0.01257309690117836,0.7681131,0.78781617,0.0
