Epitope_Group,Model,N_Rows,N_Scored,N_Positive,Binder_Fraction,AUC01,Mean_Prediction
R-5,ERGO,399,399,227,0.568922305764411,0.5480537477286085,0.07549441930415111
R-5,EPACT,399,399,227,0.568922305764411,0.5008869884988056,0.3005326898766917
R-5,PanPep,399,399,227,0.568922305764411,0.4882696445036369,0.5676990688220552
R-5,TITAN,399,399,227,0.568922305764411,0.5098377538970877,0.046184963387971636
R-5,NetTCR,399,399,227,0.568922305764411,0.540761030739948,0.19080306508694236
R-5,NetTCR22,399,399,227,0.568922305764411,0.503583002172987,0.4514195026190476
R-5,ERGO2,399,399,227,0.568922305764411,0.5077887835047099,0.12019160492503973
R-5,SCEPTR,399,399,227,0.568922305764411,0.5105726872246696,0.2719298245614035
non-R-5,ERGO,3213,3213,2821,0.8779956427015251,0.5210074738677352,0.08111392038196631
non-R-5,EPACT,3213,3213,2821,0.8779956427015251,0.5264694246884746,0.30062112774189226
non-R-5,PanPep,3213,3213,2821,0.8779956427015251,0.5339537632250982,0.5654738219794585
non-R-5,TITAN,3213,3213,2821,0.8779956427015251,0.49851333656468616,0.016832422270190817
non-R-5,NetTCR,3213,3213,2821,0.8779956427015251,0.5196034345751958,0.18788976246149394
non-R-5,NetTCR22,3213,3211,2819,0.8779196511990034,0.5006704162219769,0.5009883260165057
non-R-5,ERGO2,3213,3213,2821,0.8779956427015251,0.49365012521174817,0.2529895915180053
non-R-5,SCEPTR,3213,3213,2821,0.8779956427015251,0.505487936105598,0.27833800186741364
