Model,R5_Status,Mean_AUC01,Median_AUC01,SD_AUC01,N_Mutations
ERGO,R5,0.5677180416792605,0.5789473684210527,0.050683768910330655,19
ERGO,non-R5,0.6595801228980277,0.628482972136223,0.130901497825402,94
EPACT,R5,0.5135125980001326,0.4784688995215311,0.05020044408391171,19
EPACT,non-R5,0.6517905927332617,0.6146616541353384,0.13911007632549657,94
PanPep,R5,0.5059471153653978,0.4739234449760765,0.04227124541448026,19
PanPep,non-R5,0.6416012509699022,0.6700083542188805,0.15606617263524242,94
TITAN,R5,0.5880255478593428,0.6052631578947368,0.052198230413495424,19
TITAN,non-R5,0.6192224090633719,0.6198830409356725,0.0818389461610383,94
NetTCR,R5,0.5509811825601298,0.5311004784688995,0.037005219230257826,19
NetTCR,non-R5,0.6202940425531683,0.6198830409356725,0.10580504746502031,94
NetTCR2.2,R5,0.4887776120463101,0.47368421052631576,0.03378255482320713,19
NetTCR2.2,non-R5,0.61386432464156,0.5321637426900585,0.15242541175736168,94
ERGO2,R5,0.5482538134892705,0.5263157894736842,0.051147276931278816,19
ERGO2,non-R5,0.5536128669221801,0.5290858725761772,0.06579276899702337,94
SCEPTR,R5,0.518812274406111,0.5131578947368421,0.02738398556470598,19
SCEPTR,non-R5,0.5356848175382217,0.5074224021592443,0.0989062731921583,94
