TCR_Group,Model,N_Rows,N_Scored,N_Positive,N_Negative,AUC01,Spearman_Rho_vs_log2FC,Spearman_P_vs_log2FC
SVAR.1,ERGO,172,172,124,48,0.5369977362761743,-0.10844589614945427,0.1567569100267955
SVAR.1,EPACT,172,172,124,48,0.5730758347481607,0.3414630119866296,4.5587151193960755e-06
SVAR.1,PanPep,172,172,124,48,0.5835101867572157,0.06026449068155055,0.4322704883325459
SVAR.1,TITAN,172,172,124,48,0.4777518392756084,-0.3561296865145246,1.6293218542170142e-06
SVAR.1,NetTCR,172,172,124,48,0.5387662705149971,0.026715563442996245,0.7279313736753026
SVAR.1,NetTCR22,172,172,124,48,0.5085243350311262,-0.10031307300916713,0.19043085432964024
SVAR.1,ERGO2,172,172,124,48,0.517013299377476,0.2584308615700256,0.0006195476236718266
SVAR.1,SCEPTR,172,172,124,48,0.4905281821575215,-0.0731586331517022,0.3402107372645967
SVAR.13,ERGO,172,172,126,46,0.48621553884711777,-0.1445333619525982,0.05853627793394064
SVAR.13,EPACT,172,172,126,46,0.6849006574407033,0.5352580864609886,3.889204619998913e-14
SVAR.13,PanPep,172,172,126,46,0.48476263121572044,-0.2764953755183427,0.00024103523228835214
SVAR.13,TITAN,172,172,126,46,0.47368421052631576,-0.20878036931676036,0.005986515529597226
SVAR.13,NetTCR,172,172,126,46,0.5003813882532417,-0.046008470125679386,0.5489641505210946
SVAR.13,NetTCR22,172,172,126,46,0.5557734917002651,0.10800204471924994,0.15847072579130414
SVAR.13,ERGO2,172,172,126,46,0.5535941302531692,0.1441689921325496,0.05918175236682502
SVAR.13,SCEPTR,172,172,126,46,0.5,,
SVAR.14,ERGO,172,172,170,2,0.6811145510835913,-0.22905256852378053,0.002507972908605286
SVAR.14,EPACT,172,172,170,2,0.7647058823529411,0.2966668651623571,7.759317662214798e-05
SVAR.14,PanPep,172,172,170,2,0.5727554179566563,-0.028685960835832774,0.7087417797125486
SVAR.14,TITAN,172,172,170,2,0.47678018575851394,-0.40088061312754925,5.052129434280027e-08
SVAR.14,NetTCR,172,172,170,2,0.5170278637770898,-0.02372396292416326,0.7573887897389353
SVAR.14,NetTCR22,172,172,170,2,0.7708978328173375,-0.046345390665956984,0.5460387733269509
SVAR.14,ERGO2,172,172,170,2,0.9164086687306501,0.3564820519654341,1.588522511236061e-06
SVAR.14,SCEPTR,172,172,170,2,0.5,,
SVAR.16,ERGO,172,172,94,78,0.4966548941912884,-0.14174357390024578,0.06362904211769448
SVAR.16,EPACT,172,172,94,78,0.4861745197691446,-0.05082746149824212,0.5078665302366207
SVAR.16,PanPep,172,172,94,78,0.5021104315617193,-0.000566007366350135,0.9941204505792822
SVAR.16,TITAN,172,172,94,78,0.47368421052631576,-0.15394103264509118,0.04377586638179648
SVAR.16,NetTCR,172,172,94,78,0.5285267177764378,-0.0033535976001265195,0.9651742832982206
SVAR.16,NetTCR22,172,172,94,78,0.548913199529101,0.03250061464863004,0.6721162858167584
SVAR.16,ERGO2,172,172,94,78,0.5349872225572113,0.08589279702564621,0.26257266342744967
SVAR.16,SCEPTR,172,172,94,78,0.5,,
SVAR.2,ERGO,172,172,147,25,0.49874686716791977,-0.09714331533902641,0.20489324330124306
SVAR.2,EPACT,172,172,147,25,0.527389903329753,0.3741754574633923,4.2729096860443406e-07
SVAR.2,PanPep,172,172,147,25,0.5696383816684568,-0.10359579551109255,0.1762535568058788
SVAR.2,TITAN,172,172,147,25,0.4822771213748657,-0.2742846496534386,0.0002715169304417799
SVAR.2,NetTCR,172,172,147,25,0.5051915503043323,-0.0802715890411605,0.29520765284441686
SVAR.2,NetTCR22,172,172,147,25,0.5238095238095238,0.0020258335043146242,0.9789583543068096
SVAR.2,ERGO2,172,172,147,25,0.5066237021124239,0.15045410272555967,0.048835226617963266
