x,y,auc01,model
2,1,0.730731627831188,ERGO
3,1,0.6917226879112777,ERGO
4,1,0.7255144059687858,ERGO
5,1,0.5677180416792605,ERGO
6,1,0.5937659090611845,ERGO
7,1,0.6427073101559582,ERGO
8,1,0.6636912689111443,ERGO
9,1,0.6204796611627107,ERGO
2,2,0.7621530606702515,EPACT
3,2,0.6879005610470496,EPACT
4,2,0.6234970659818976,EPACT
5,2,0.5135125980001326,EPACT
6,2,0.5606430826172171,EPACT
7,2,0.6262578199000479,EPACT
8,2,0.7644171144201697,EPACT
9,2,0.6528154024767802,EPACT
2,3,0.7957471077073489,PanPep
3,3,0.685911750765303,PanPep
4,3,0.7312542609787384,PanPep
5,3,0.5059471153653978,PanPep
6,3,0.5005831753899985,PanPep
7,3,0.591901580576829,PanPep
8,3,0.6432844721452755,PanPep
9,3,0.7529038205194358,PanPep
2,4,0.6530335125740047,TITAN
3,4,0.6089328254983298,TITAN
4,4,0.6006725214663564,TITAN
5,4,0.5880255478593428,TITAN
6,4,0.6166339136470694,TITAN
7,4,0.6020746131034258,TITAN
8,4,0.6493898792736783,TITAN
9,4,0.6462203302373581,TITAN
2,5,0.6725870403563087,NetTCR
3,5,0.6613931564334855,NetTCR
4,5,0.6143288965143388,NetTCR
5,5,0.5509811825601298,NetTCR
6,5,0.5363799157151385,NetTCR
7,5,0.5895605254472396,NetTCR
8,5,0.635135362743009,NetTCR
9,5,0.776358789129687,NetTCR
2,6,0.6928738254304491,NetTCR2.2
3,6,0.5435362190902356,NetTCR2.2
4,6,0.5114656557316316,NetTCR2.2
5,6,0.48877761204631,NetTCR2.2
6,6,0.640973359747748,NetTCR2.2
7,6,0.5774348493403119,NetTCR2.2
8,6,0.7721650822947262,NetTCR2.2
9,6,0.6213342793257655,NetTCR2.2
2,7,0.567269567106621,ERGO2
3,7,0.5956648745674328,ERGO2
4,7,0.6090739429767889,ERGO2
5,7,0.5482538134892705,ERGO2
6,7,0.5121052401064493,ERGO2
7,7,0.5332083446857383,ERGO2
8,7,0.5218505058639692,ERGO2
9,7,0.5625107499140006,ERGO2
2,8,0.501091738634512,SCEPTR
3,8,0.5778752023565755,SCEPTR
4,8,0.5210550178601667,SCEPTR
5,8,0.518812274406111,SCEPTR
6,8,0.5116425976627365,SCEPTR
7,8,0.5516709031042294,SCEPTR
8,8,0.4987175986385125,SCEPTR
9,8,0.6029766511867904,SCEPTR
