dataset,model,rows,scored,unscored,positives,negatives
fingerprinting,ERGO,3612,3612,0,3048,564
fingerprinting,EPACT,3612,3612,0,3048,564
fingerprinting,PanPep,3612,3612,0,3048,564
fingerprinting,TITAN,3612,3612,0,3048,564
fingerprinting,NetTCR,3612,3612,0,3048,564
fingerprinting,NetTCR2.2,3612,3610,2,3046,564
fingerprinting,ERGO2,3612,3612,0,3048,564
fingerprinting,SCEPTR,3612,3612,0,3048,564
immrep23,ERGO,3484,3484,0,598,2886
immrep23,EPACT,3484,3484,0,598,2886
immrep23,PanPep,3484,3450,34,564,2886
immrep23,TITAN,3484,3484,0,598,2886
immrep23,NetTCR,3484,3375,109,506,2869
immrep23,NetTCR2.2,3484,3338,146,524,2814
immrep23,ERGO2,3484,3484,0,598,2886
immrep23,SCEPTR,3484,3484,0,598,2886
tettcr,ERGO,51351,51049,302,5951,45098
tettcr,EPACT,51351,51339,12,6209,45130
tettcr,PanPep,51351,51165,186,6062,45103
tettcr,TITAN,51351,51351,0,6217,45134
tettcr,NetTCR,51351,51351,0,6217,45134
tettcr,NetTCR2.2,51351,51351,0,6217,45134
tettcr,ERGO2,51351,51001,350,5946,45055
tettcr,SCEPTR,51351,51351,0,6217,45134
